PassengerId,Survived
455, 0
456, 0
457, 0
464, 0
465, 0
466, 0
467, 0
468, 0
469, 0
470, 1
471, 0
472, 0
473, 1
474, 0
475, 0
476, 0
477, 0
478, 0
479, 0
480, 0
481, 1
482, 0
483, 0
484, 0
485, 1
486, 0
487, 1
488, 0
489, 0
490, 0
491, 0
492, 0
493, 0
494, 0
495, 0
496, 0
497, 1
498, 0
499, 1
500, 0
501, 0
502, 0
503, 0
504, 0
505, 1
506, 1
507, 1
508, 0
509, 0
510, 0
511, 0
512, 0
513, 0
514, 1
515, 0
516, 0
517, 0
518, 0
519, 1
520, 0
521, 1
522, 0
523, 0
524, 1
525, 0
526, 0
527, 0
528, 0
529, 0
530, 1
531, 1
532, 0
533, 0
534, 0
535, 0
536, 1
537, 0
538, 1
539, 0
540, 1
541, 1
542, 1
543, 1
544, 0
545, 1
546, 0
547, 1
548, 0
549, 1
550, 1
551, 1
552, 0
553, 0
554, 0
555, 0
556, 0
557, 1
558, 0
559, 1
560, 1
561, 0
562, 0
563, 0
564, 0
565, 0
566, 1
567, 0
568, 1
569, 0
570, 0
571, 0
572, 1
573, 0
574, 0
575, 0
576, 0
577, 0
578, 1
579, 0
580, 0
581, 1
582, 1
583, 0
584, 0
585, 0
586, 1
587, 0
588, 1
589, 0
590, 0
591, 0
592, 1
593, 0
594, 0
595, 0
596, 1
597, 0
598, 0
599, 0
600, 1
601, 1
602, 0
603, 0
604, 0
605, 0
606, 0
607, 0
608, 0
609, 1
610, 1
611, 1
612, 0
613, 0
614, 0
615, 0
616, 1
617, 1
618, 1
619, 1
620, 0
621, 0
622, 1
623, 1
624, 0
625, 0
626, 0
627, 0
628, 1
629, 0
630, 0
631, 0
632, 0
633, 0
634, 0
649, 0
650, 0
651, 0
652, 1
653, 0
654, 0
655, 0
656, 1
657, 0
658, 1
659, 0
660, 1
661, 1
669, 0
670, 0
671, 1
672, 1
673, 0
674, 0
675, 0
676, 0
677, 0
678, 0
679, 1
680, 1
681, 0
682, 0
683, 0
684, 1
685, 1
686, 1
687, 1
688, 0
689, 0
690, 1
691, 1
692, 0
693, 0
694, 0
695, 0
696, 0
697, 0
698, 0
699, 1
700, 0
701, 1
702, 0
703, 1
704, 0
716, 0
717, 1
718, 0
719, 0
720, 0
721, 1
722, 0
723, 0
724, 0
725, 1
726, 0
727, 1
728, 0
729, 0
730, 1
731, 1
732, 0
733, 0
734, 0
735, 0
736, 0
737, 1
738, 1
739, 0
740, 0
741, 0
742, 1
743, 1
744, 0
745, 0
746, 1
747, 1
748, 0
749, 1
750, 0
751, 1
752, 0
753, 0
754, 0
755, 1
756, 1
757, 0
758, 0
759, 0
772, 0
773, 0
774, 0
775, 1
776, 0
777, 0
778, 0
779, 0
780, 1
781, 0
782, 1
783, 0
784, 0
785, 0
786, 0
787, 0
788, 1
789, 1
790, 0
791, 0
792, 0
793, 0
794, 0
795, 0
796, 0
797, 1
798, 0
799, 0
800, 1
801, 0
802, 1
803, 1
804, 0
805, 0
806, 0
807, 0
808, 0
809, 0
810, 1
811, 0
812, 0
813, 0
814, 1
815, 0
816, 0
817, 0
818, 1
819, 0
820, 1
821, 1
822, 0
823, 0
824, 1
825, 1
826, 0
827, 0
828, 1
829, 0
830, 1
831, 1
832, 1
833, 0
834, 0
835, 0
836, 1
837, 0
838, 0
839, 0
840, 0
841, 0
842, 0
843, 0
844, 0
845, 0
846, 0
847, 0
848, 0
849, 0
850, 0
851, 1
852, 0
853, 1
854, 1
855, 1
856, 0
857, 1
858, 0
859, 1
860, 0
861, 1
862, 0
863, 1
864, 0
865, 0
866, 0
867, 1
868, 0
869, 0
870, 0
871, 0
872, 1
873, 0
874, 0
875, 1
876, 0
877, 0
886, 1
887, 0
888, 0
889, 0
890, 0
891, 0
